INSERT INTO task VALUES ('admin', '관리자', '영업 1팀', '인턴', 1, '1', '18년 6월 1일 업무보고', '18년 6월 1일 업무보고', '사원1', '', '', to_date('18/06/01','RR/MM/DD'), to_date('18/06/01','RR/MM/DD'), '미완료', 1);
INSERT INTO task VALUES ('admin', '관리자', '영업 2팀', '인턴', 2, '2', '18년 6월 2일 업무보고', '18년 6월 2일 업무보고', '사원2', '', '', to_date('18/06/02','RR/MM/DD'), to_date('18/06/02','RR/MM/DD'), '반려', 1);
INSERT INTO task VALUES ('admin', '관리자', '생산부', '인턴', 3, '3', '18년 6월 3일 업무보고', '18년 6월 3일 업무보고', '사원3', '', '', to_date('18/06/03','RR/MM/DD'), to_date('18/06/03','RR/MM/DD'), '반려', 1);
INSERT INTO task VALUES ('admin', '관리자', '인사팀', '인턴', 4, '1', '18년 6월 4일 업무보고', '18년 6월 4일 업무보고', '사원4', '', '', to_date('18/06/04','RR/MM/DD'), to_date('18/06/04','RR/MM/DD'), '완료', 1);
INSERT INTO task VALUES ('admin', '관리자', '총무팀', '인턴', 5, '2', '18년 6월 5일 업무보고', '18년 6월 5일 업무보고', '사원5', '', '', to_date('18/06/05','RR/MM/DD'), to_date('18/06/05','RR/MM/DD'), '완료', 1);
INSERT INTO task VALUES ('admin', '관리자', '영업 1팀', '인턴', 6, '3', '18년 6월 6일 업무보고', '18년 6월 6일 업무보고', '사원6', '', '', to_date('18/06/06','RR/MM/DD'), to_date('18/06/06','RR/MM/DD'), '완료', 1);
INSERT INTO task VALUES ('admin', '관리자', '영업 2팀', '인턴', 7, '1', '18년 6월 7일 업무보고', '18년 6월 7일 업무보고', '사원7', '', '', to_date('18/06/07','RR/MM/DD'), to_date('18/06/07','RR/MM/DD'), '완료', 1);
INSERT INTO task VALUES ('admin', '관리자', '생산부', '인턴', 8, '2', '18년 6월 8일 업무보고', '18년 6월 8일 업무보고', '사원8', '', '', to_date('18/06/08','RR/MM/DD'), to_date('18/06/08','RR/MM/DD'), '미완료', 1);
INSERT INTO task VALUES ('admin', '관리자', '인사팀', '인턴', 9, '3', '18년 6월 9일 업무보고', '18년 6월 9일 업무보고', '사원9', '', '', to_date('18/06/09','RR/MM/DD'), to_date('18/06/09','RR/MM/DD'), '반려', 1);
INSERT INTO task VALUES ('admin', '관리자', '총무팀', '인턴', 10, '1', '18년 6월 10일 업무보고', '18년 6월 10일 업무보고', '사원10', '', '', to_date('18/06/10','RR/MM/DD'), to_date('18/06/10','RR/MM/DD'), '반려', 1);
INSERT INTO task VALUES ('admin', '관리자', '영업 1팀', '인턴', 11, '2', '18년 6월 11일 업무보고', '18년 6월 11일 업무보고', '사원11', '', '', to_date('18/06/11','RR/MM/DD'), to_date('18/06/11','RR/MM/DD'), '완료', 1);
